Fav,Pos,Bib No,Name,Time,Cat Pos,Gen Pos,Swim,T1,Run,Category,Time_seconds,Swim_seconds,T1_seconds,Run_seconds
,1,365, KHAIRIL AZHAR,00:33:06,1,1,00:13:02,00:01:52,00:18:11,SprintAquathlon3039M,1986,782,112,1091
,2,361, CAVENT,00:42:22,2,2,00:16:00,00:02:37,00:23:44,SprintAquathlon3039M,2542,960,157,1424
,3,373, PAOLO REDENTOR MEDINA,00:42:54,3,3,00:15:11,00:03:00,00:24:42,SprintAquathlon3039M,2574,911,180,1482
,4,364, HAZIQ PIYOH,00:43:51,4,4,00:17:11,00:02:53,00:23:47,SprintAquathlon3039M,2631,1031,173,1427
,5,377, WILL CHONG,00:45:20,5,5,00:14:26,00:02:50,00:28:03,SprintAquathlon3039M,2720,866,170,1683
,6,359, ALIAS AMIRUDDIN,00:49:27,6,6,00:21:18,00:04:12,00:23:56,SprintAquathlon3039M,2967,1278,252,1436
,7,360, AZER AZRIN ANUAR,00:51:16,7,7,00:20:28,00:03:24,00:27:23,SprintAquathlon3039M,3076,1228,204,1643
,8,374, SIMON TIEW,00:56:25,8,8,00:16:18,00:03:26,00:36:40,SprintAquathlon3039M,3385,978,206,2200
,9,363, FAKHRI MUSA,00:57:54,9,9,00:24:59,00:02:44,00:30:10,SprintAquathlon3039M,3474,1499,164,1810
,10,375, SING HUAI NG,00:58:41,10,10,00:21:29,00:04:43,00:32:27,SprintAquathlon3039M,3521,1289,283,1947
,11,379, ZUBAIR YAZID,01:00:42,11,11,00:20:30,00:06:29,00:33:42,SprintAquathlon3039M,3642,1230,389,2022
,12,366, MOHAMAD HAFIZIAKMAL BIN OSMAN,01:01:21,12,12,00:20:48,00:04:15,00:36:16,SprintAquathlon3039M,3681,1248,255,2176
,13,358, AIMAN AZMI,01:02:10,13,13,00:21:11,00:04:55,00:36:02,SprintAquathlon3039M,3730,1271,295,2162
,14,362, FAIZ MUSA,01:02:11,14,14,00:24:26,00:03:37,00:34:07,SprintAquathlon3039M,3731,1466,217,2047
,15,357, AHMAD AJWAD MOHAMAD NAZIF,01:03:26,15,15,00:21:45,00:04:26,00:37:13,SprintAquathlon3039M,3806,1305,266,2233
,16,369, MUHAMMAD AMIRUL HUSAINI BIN ALIAS,01:07:24,16,16,00:26:45,00:04:54,00:35:43,SprintAquathlon3039M,4044,1605,294,2143
,17,372, NASRULLAH ZULKAFLI,01:15:04,17,17,00:26:59,00:05:39,00:42:25,SprintAquathlon3039M,4504,1619,339,2545
,18,378, YOON YEAP LOW,01:16:40,18,18,00:31:30,00:05:48,00:39:21,SprintAquathlon3039M,4600,1890,348,2361
